CHAN_2,CHAN_26,CHAN_80,ORI,GRID
-62.400000,-58.100000,-70.200000,1,0
-60.500000,-69.100000,-71.500000,0,0
-68.700000,-68.800000,-72.400000,3,0
-70.200000,-69.300000,-71.100000,2,0
-58.500000,-58.500000,-59.700000,1,1
-65.500000,-65.300000,-66.700000,0,1
-65.900000,-61.300000,-63.600000,3,1
-74.100000,-68.100000,-71.500000,2,1
-62.800000,-62.100000,-63.300000,1,2
-67.400000,-67.800000,-70.800000,0,2
-60.400000,-62.600000,-68.600000,3,2
-66.100000,-62.900000,-66.800000,2,2
-63.000000,-64.700000,-63.400000,1,3
-62.100000,-68.700000,-73.500000,0,3
-72.100000,-59.600000,-70.900000,3,3
-70.500000,-62.100000,-74.300000,2,3
-64.200000,-66.200000,-69.200000,1,4
-64.000000,-65.000000,-64.700000,0,4
-68.200000,-68.000000,-70.200000,3,4
-73.200000,-67.400000,-70.500000,2,4
-54.000000,-61.800000,-60.600000,1,5
-58.700000,-68.600000,-62.800000,0,5
-62.600000,-70.600000,-61.700000,3,5
-61.600000,-73.900000,-73.400000,2,5
-62.400000,-64.300000,-64.800000,1,6
-66.000000,-63.500000,-62.300000,0,6
-59.800000,-66.300000,-60.600000,3,6
-65.100000,-72.900000,-64.700000,2,6
-58.400000,-68.600000,-68.900000,1,7
-62.800000,-66.700000,-65.900000,0,7
-63.600000,-63.000000,-64.000000,3,7
-67.000000,-66.800000,-73.500000,2,7
-72.300000,-74.600000,-65.300000,1,8
-63.500000,-65.800000,-63.200000,0,8
-64.000000,-57.200000,-73.200000,3,8
-67.000000,-64.300000,-67.500000,2,8
-76.700000,-63.900000,-71.300000,1,9
-74.700000,-75.400000,-69.100000,0,9
-67.500000,-65.200000,-62.000000,3,9
-67.800000,-65.500000,-80.400000,2,9
-59.000000,-52.000000,-57.500000,1,10
-66.800000,-58.800000,-70.000000,0,10
-62.600000,-58.700000,-63.900000,3,10
-65.900000,-60.900000,-69.000000,2,10
-62.500000,-60.600000,-65.000000,1,11
-67.100000,-57.400000,-61.300000,0,11
-69.100000,-58.700000,-59.900000,3,11
-64.900000,-58.700000,-72.900000,2,11
-59.700000,-61.400000,-63.100000,1,12
-63.800000,-59.900000,-70.400000,0,12
-59.900000,-59.000000,-61.100000,3,12
-63.800000,-59.400000,-59.800000,2,12
-68.700000,-66.900000,-65.200000,1,13
-73.500000,-78.800000,-68.000000,0,13
-57.500000,-59.100000,-64.800000,3,13
-63.800000,-69.200000,-66.200000,2,13
-71.500000,-65.000000,-68.800000,1,14
-67.300000,-63.800000,-70.500000,0,14
-61.300000,-68.400000,-64.700000,3,14
-71.900000,-62.000000,-70.300000,2,14
-56.300000,-58.100000,-60.000000,1,15
-56.000000,-59.300000,-62.200000,0,15
-63.800000,-61.500000,-62.000000,3,15
-61.300000,-54.200000,-56.700000,2,15
-52.600000,-54.800000,-59.700000,1,16
-61.900000,-56.100000,-59.400000,0,16
-58.100000,-54.000000,-56.900000,3,16
-58.200000,-64.600000,-60.000000,2,16
-66.100000,-63.000000,-62.900000,1,17
-62.200000,-55.900000,-68.300000,0,17
-55.800000,-54.200000,-62.400000,3,17
-62.100000,-66.500000,-68.100000,2,17
-56.500000,-55.000000,-60.000000,1,18
-62.900000,-57.500000,-64.800000,0,18
-57.600000,-58.400000,-58.400000,3,18
-64.600000,-62.600000,-74.000000,2,18
-64.800000,-68.000000,-63.800000,1,19
-59.200000,-56.500000,-60.900000,0,19
-70.700000,-58.900000,-67.800000,3,19
-63.200000,-67.100000,-59.000000,2,19
-53.900000,-53.000000,-56.200000,1,20
-47.300000,-46.200000,-47.500000,0,20
-46.700000,-46.000000,-47.500000,3,20
-46.000000,-46.000000,-46.800000,2,20
-51.100000,-52.800000,-53.100000,1,21
-57.100000,-54.800000,-57.500000,0,21
-62.900000,-55.700000,-67.900000,3,21
-63.600000,-62.400000,-61.600000,2,21
-66.700000,-64.400000,-73.800000,1,22
-66.700000,-67.400000,-73.800000,0,22
-60.900000,-55.500000,-61.500000,3,22
-56.200000,-55.100000,-57.500000,2,22
-61.300000,-61.700000,-65.200000,1,23
-65.000000,-67.900000,-65.600000,0,23
-58.600000,-55.100000,-60.700000,3,23
-57.100000,-57.500000,-61.100000,2,23
-67.500000,-63.200000,-65.600000,1,24
-57.700000,-62.800000,-60.800000,0,24
-67.000000,-62.500000,-68.600000,3,24
-60.500000,-60.200000,-60.900000,2,24
